"Наименование товара";"Цена минимальная";"Валюта";"Ссылка на страницу товара";"Наименование род. Рубрики";
"Кабель силовой NYM-O 2х1,5 0,66кВ (Электрокабель НН)";"19,7";"руб.";"http://shop220.ru/product67.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-O 2х2,5 0,66кВ (Электрокабель НН)";"30,6";"руб.";"http://shop220.ru/product68.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 3х1,5 0,66кВ (Электрокабель НН)";"25,7";"руб.";"http://shop220.ru/product69.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 3х2,5 0,66кВ (Электрокабель НН)";"40,2";"руб.";"http://shop220.ru/product70.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 3х4,0 0,66кВ (Электрокабель НН)";"63,9";"руб.";"http://shop220.ru/product71.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 3х6,0 0,66кВ (Электрокабель НН)";"93,1";"руб.";"http://shop220.ru/product72.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-O 4х1,5 0,66кВ (Электрокабель НН)";"34,7";"руб.";"http://shop220.ru/product73.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-O 4х2,5 0,66кВ (Электрокабель НН)";"54,3";"руб.";"http://shop220.ru/product74.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 5х1,5 0,66кВ (Электрокабель НН)";"41,9";"руб.";"http://shop220.ru/product77.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 5х2,5 0,66кВ (Электрокабель НН)";"66,1";"руб.";"http://shop220.ru/product79.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 5х4,0 0,66кВ (Электрокабель НН)";"105,2";"руб.";"http://shop220.ru/product80.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
"Кабель силовой NYM-J 5х6,0 0,66кВ (Электрокабель НН)";"154,6";"руб.";"http://shop220.ru/product81.htm";"Shop220.ru >> Каталог >> Кабель силовой, провод >> NUM кабель силовой 0,660кВ Электрокабель НН";
